"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","age"
"8114391","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N","0",1
"8114393","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N","0",1
"8114394","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N","0",1
"8114395","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N","0",1
"8114396","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N","0",1
"8114397","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N","0",1
"8114409","0","0","0","0","0","0","0","0","0","0","0","0","0","N","0","0",1
"8114410","0","0","0","0","0","0","0","0","0","0","0","0","0","N","0","0",1
"8114411","0","0","0","0","0","0","0","0","0","0","0","0","0","N","0","0",1
"8114412","0","0","0","0","0","0","0","0","0","0","0","0","0","N","0","0",1
"8114413","0","0","0","0","0","0","0","0","0","0","0","0","0","N","0","0",1
"8114414","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N","0",1
"8114416","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N","0",1
"ABL510","N","E","E","N","N","N","B1","LB_","LB_","LB","0","0","0","0","0","0",1
"ABL519","N","E","E","E","E","N","0","0","0","0","0","0","0","0","0","0",1
"ABL522","N","E","E","N","0","0","0","0","0","0","0","0","0","0","0","0",1
"ABL575","N","E","N","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"ABL580","N","E","E","E","N","0","0","0","0","0","0","0","0","0","0","0",1
"ABL681","N","E","E","E","N","N","0","0","0","0","0","0","0","0","0","0",1
"ABL695","N","E","E","E","N","0","0","0","0","0","0","0","0","0","0","0",1
"ABL713","N","E","E","E","N","N","B1","LB","LB","L_B","0","0","0","0","0","0",1
"ABL738","N","E","N","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"ABL811","N","E","E","E","N","0","0","0","0","0","0","0","0","0","0","0",1
"ABL835","N","E","E","E","E","N","E","N","0","0","0","0","0","0","0","0",1
"ABL849","N","E","N","N","0","0","0","0","0","0","0","0","0","0","0","0",1
"ABL906","N","E","E","E","E","E","N","0","0","0","0","0","0","0","0","0",1
"ABL918","N","E","E","E","N","0","0","0","0","0","0","0","0","0","0","0",1
"ABL922","N","E","E","E","E","E","E","N","0","0","0","0","0","0","0","0",1
"ABL930","N","E","E","E","N","0","0","0","0","0","0","0","0","0","0","0",1
"ABL963","N","E","E","E","N","0","0","0","0","0","0","0","0","0","0","0",1
"ABN001","N","E","E","N","N","0","0","0","0","0","0","0","0","0","0","0",1
"ABN059","N","E","E","E","E","N","0","0","0","0","0","0","0","0","0","0",1
"ABN155","N","E","E","E","E","E","E","N","0","0","0","0","0","0","0","0",1
"ABN243","N","E","E","E","E","E","E","E","E","E","N","0","0","0","0","0",1
"ABN271","N","E","E","N","0","0","0","0","0","0","0","0","0","0","0","0",1
"ABN552","N","E","E","E","E","N","B1","L_B","0","0","0","0","0","0","0","0",1
"ABN555","N","E","E","E","N","0","0","0","0","0","0","0","0","0","0","0",1
"ABN643","N","E","E","E","N","0","0","0","0","0","0","0","0","0","0","0",1
"ABN680","N","E","E","N","0","0","0","0","0","0","0","0","0","0","0","0",1
"ABN696","N","E","E","E","N","0","0","0","0","0","0","0","0","0","0","0",1
"ABN708","N","E","E","E","N","N","0","0","0","0","0","0","0","0","0","0",1
"ABN792","N","E","E","E","N","0","0","0","0","0","0","0","0","0","0","0",1
"ABN812","N","E","E","E","N","N","0","0","0","0","0","0","0","0","0","0",1
"ABN820","N","E","E","N","B1","L_B_","LB","L_B","LB","LB","LB_","0","0","0","0","0",1
"ABN828","N","E","E","E","E","N","0","0","0","0","0","0","0","0","0","0",1
"ABN864","N","E","N","N","0","0","0","0","0","0","0","0","0","0","0","0",1
"ABP023","N","E","E","E","E","E","E","N","0","0","0","0","0","0","0","0",1
"ABP251","N","E","E","E","N","0","0","0","0","0","0","0","0","0","0","0",1
"ABP385","N","E","E","N","0","0","0","0","0","0","0","0","0","0","0","0",1
"ABP581","N","E","E","N","0","0","0","0","0","0","0","0","0","0","0","0",1
"ABP665","N","E","E","E","E","N","0","0","0","0","0","0","0","0","0","0",1
"ABP833","N","E","E","E","N","N","0","0","0","0","0","0","0","0","0","0",1
